"","price_per_sqmt","facing_direction","floor_level","decoration"
"480",52769,"South","top","other"
"481",44373,"South","high","other"
"482",94709,"South","middle","refined"
"483",106889,"South","high","refined"
"484",92695,"North","middle","refined"
"485",81191,"North","low","other"
"486",84820,"North","middle","simple"
"487",91887,"East/West","high","refined"
"488",96661,"South","middle","simple"
"489",106169,"South","high","refined"
"490",91960,"North","low","refined"
"491",101921,"South","middle","refined"
"492",85580,"East/West","middle","simple"
"493",94447,"South","high","refined"
"494",95433,"South","first","simple"
"495",90103,"South","low","simple"
"496",89444,"South","top","simple"
"497",86427,"South","low","simple"
"498",91510,"South","first","simple"
"499",92018,"South","high","refined"
"500",90803,"South","high","simple"
"501",98809,"East/West","high","simple"
"502",95434,"South","low","refined"
"503",93315,"South","first","other"
"504",94542,"South","first","refined"
"505",90529,"South","low","simple"
"506",94151,"East/West","first","simple"
"507",101424,"South","low","simple"
"508",96384,"East/West","middle","refined"
"509",87268,"North","top","simple"
"510",91658,"South","low","refined"
"511",97263,"East/West","high","simple"
"512",94058,"East/West","middle","simple"
"513",76044,"North","high","simple"
"514",84520,"South","high","simple"
"515",81491,"South","high","refined"
"516",71327,"South","middle","simple"
"517",72805,"South","middle","simple"
"518",63397,"North","middle","refined"
"519",66548,"South","middle","refined"
"520",65310,"East/West","low","simple"
"521",69027,"South","high","simple"
"522",67246,"South","middle","simple"
"523",65412,"South","middle","bare"
"524",63041,"South","middle","refined"
"525",58235,"East/West","high","simple"
"526",53666,"East/West","first","simple"
"527",50270,"East/West","middle","simple"
"528",59153,"East/West","high","simple"
"529",50270,"East/West","low","simple"
"530",53979,"South","middle","refined"
"531",64860,"South","middle","refined"
"532",52627,"South","top","refined"
"533",47095,"South","low","simple"
"534",61928,"South","low","simple"
"535",58211,"South","high","simple"
"536",54987,"East/West","high","refined"
"537",55814,"South","low","refined"
"538",46805,"South","first","refined"
"539",56406,"South","middle","refined"
"540",55690,"South","high","refined"
"541",58211,"South","high","simple"
"542",50765,"South","low","simple"
"543",48640,"East/West","low","refined"
"544",62391,"South","middle","other"
"545",52292,"East/West","high","refined"
"546",51712,"South","middle","refined"
"547",50740,"South","first","other"
"548",54189,"South","low","simple"
"549",45423,"South","low","other"
"550",52466,"East/West","high","simple"
"551",52057,"South","middle","refined"
"552",48640,"East/West","middle","simple"
"553",41973,"North","middle","other"
"554",51012,"South","high","simple"
"555",49214,"East/West","middle","refined"
"556",51146,"East/West","high","simple"
"557",49606,"South","high","bare"
"558",48485,"South","high","refined"
"559",48663,"South","low","simple"
"560",49678,"North","middle","simple"
"561",51491,"South","high","refined"
"562",56509,"South","middle","simple"
"563",60009,"South","low","refined"
"564",59736,"South","high","other"
"565",55216,"South","middle","simple"
"566",59871,"South","middle","other"
"567",58849,"South","top","other"
"568",57044,"South","low","other"
"569",54102,"South","middle","other"
"570",53369,"South","middle","other"
"571",56083,"South","low","other"
"572",40805,"South","low","other"
"573",41187,"South","top","other"
"574",49882,"South","low","other"
"575",48605,"South","middle","other"
"576",55095,"South","middle","other"
"577",54960,"South","high","other"
"578",49889,"South","low","other"
"579",54408,"South","high","other"
"580",43127,"East/West","middle","other"
"581",43318,"South","high","other"
"582",50906,"South","middle","other"
"583",56934,"South","high","other"
"584",45101,"South","middle","other"
"585",94242,"South","high","other"
"586",84162,"South","first","simple"
"587",96518,"South","first","refined"
"588",72964,"South","middle","simple"
"589",62730,"South","first","other"
"590",49287,"South","top","simple"
