price_per_sqmt,facing_direction,floor_level,decoration
63077.0,South,first,bare
60452.0,South,low,simple
61961.0,South,middle,simple
60050.0,South,low,simple
67440.0,South,middle,simple
62203.0,South,top,refined
62044.0,South,high,simple
66075.0,South,middle,simple
86797.0,South,first,simple
86044.0,South,low,simple
86991.0,North,middle,simple
92068.0,South,top,refined
91106.0,East/West,middle,simple
76840.0,South,top,refined
76104.0,South,high,simple
73290.0,South,high,refined
54941.0,South,low,simple
55195.0,South,middle,simple
56591.0,South,middle,simple
56169.0,South,high,other
52769.0,South,top,other
44373.0,South,high,other
94709.0,South,middle,refined
106889.0,South,high,refined
92695.0,North,middle,refined
81191.0,North,low,other
84820.0,North,middle,simple
91887.0,East/West,high,refined
96661.0,South,middle,simple
106169.0,South,high,refined
91960.0,North,low,refined
101921.0,South,middle,refined
85580.0,East/West,middle,simple
94447.0,South,high,refined
95433.0,South,NA,NA
90103.0,South,NA,NA
89444.0,South,NA,NA
86427.0,South,low,simple
91510.0,South,NA,NA
92018.0,South,high,refined
90803.0,South,high,simple
98809.0,East/West,high,simple
95434.0,South,low,refined
93315.0,South,NA,NA
94542.0,South,NA,NA
90529.0,South,low,simple
94151.0,East/West,first,simple
101424.0,South,low,simple
96384.0,East/West,middle,refined
87268.0,North,NA,NA
91658.0,South,NA,NA
97263.0,East/West,high,simple
94058.0,East/West,middle,simple
76044.0,North,high,simple
84520.0,South,high,simple
81491.0,South,high,refined
71327.0,South,middle,simple
72805.0,South,middle,simple
63397.0,North,middle,refined
66548.0,South,middle,refined
65310.0,East/West,low,simple
69027.0,South,high,simple
67246.0,South,middle,simple
65412.0,South,middle,bare
63041.0,South,middle,refined
58235.0,East/West,high,simple
53666.0,East/West,first,simple
50270.0,East/West,middle,simple
59153.0,East/West,high,simple
50270.0,East/West,low,simple
53979.0,South,middle,refined
64860.0,South,middle,refined
52627.0,South,top,refined
47095.0,South,low,simple
61928.0,South,low,simple
58211.0,South,high,simple
54987.0,East/West,high,refined
55814.0,South,low,refined
46805.0,South,first,refined
56406.0,South,middle,refined
55690.0,South,high,refined
58211.0,South,high,simple
50765.0,South,low,simple
48640.0,East/West,low,refined
62391.0,South,middle,other
52292.0,East/West,high,refined
51712.0,South,middle,refined
50740.0,South,first,other
54189.0,South,low,simple
45423.0,South,low,other
52466.0,East/West,high,simple
52057.0,South,middle,refined
48640.0,East/West,middle,simple
41973.0,North,middle,other
51012.0,South,high,simple
49214.0,East/West,middle,refined
51146.0,East/West,high,simple
49606.0,South,high,bare
48485.0,South,high,refined
48663.0,South,low,simple
49678.0,North,middle,simple
51491.0,South,high,refined
56509.0,South,middle,simple
60009.0,South,low,refined
59736.0,South,high,other
55216.0,South,middle,simple
59871.0,South,middle,other
58849.0,South,top,other
57044.0,South,low,other
54102.0,South,middle,other
53369.0,South,middle,other
56083.0,South,low,other
40805.0,South,low,other
41187.0,South,top,other
49882.0,South,low,other
48605.0,South,middle,other
55095.0,South,middle,other
54960.0,South,high,other
49889.0,South,low,other
54408.0,South,high,other
43127.0,East/West,middle,other
43318.0,South,high,other
50906.0,South,middle,other
56934.0,South,high,other
45101.0,South,middle,other
94242.0,South,high,other
84162.0,South,first,simple
96518.0,South,first,refined
72964.0,South,middle,simple
62730.0,South,first,other
49287.0,South,top,simple
49074.0,South,top,refined
79334.0,East/West,high,refined
97268.0,South,middle,other
83204.0,South,first,other
78871.0,South,top,refined
79443.0,South,middle,other
76301.0,East/West,top,refined
83131.0,South,top,simple
87313.0,South,middle,other
87199.0,South,first,simple
89921.0,South,middle,refined
86176.0,East/West,NA,NA
81648.0,East/West,middle,simple
82927.0,South,top,simple
84234.0,South,top,simple
84787.0,South,first,simple
84932.0,East/West,NA,NA
84388.0,South,middle,other
81550.0,South,middle,refined
79045.0,South,first,bare
82104.0,South,middle,simple
85083.0,South,middle,simple
85238.0,South,middle,refined
91464.0,South,middle,refined
104478.0,South,NA,NA
102213.0,East/West,NA,NA
98127.0,South,middle,refined
96238.0,South,top,simple
99448.0,South,middle,refined
105043.0,South,first,simple
77153.0,NA,NA,NA
92393.0,East/West,NA,NA
75950.0,East/West,low,simple
72290.0,East/West,low,other
66266.0,East/West,top,refined
66330.0,East/West,middle,refined
67020.0,South,middle,refined
67255.0,South,middle,simple
73055.0,South,middle,refined
71429.0,South,middle,refined
66283.0,South,first,refined
67270.0,East/West,top,refined
54007.0,South,top,refined
59403.0,East/West,middle,refined
63536.0,South,middle,other
57392.0,South,top,refined
59455.0,South,first,simple
47334.0,East/West,top,simple
57381.0,South,middle,refined
51917.0,South,top,other
52487.0,South,middle,simple
48812.0,South,top,simple
51917.0,South,top,other
50072.0,South,top,simple
48024.0,South,top,other
43173.0,East/West,middle,simple
45297.0,South,middle,other
43937.0,South,top,refined
46875.0,South,first,simple
37782.0,South,top,refined
47883.0,South,middle,other
44665.0,South,middle,simple
48320.0,South,first,refined
57318.0,South,top,other
55750.0,South,middle,other
55534.0,South,middle,other
53572.0,South,first,other
70934.0,South,first,simple
80587.0,South,middle,refined
70443.0,East/West,top,simple
65418.0,East/West,first,refined
72390.0,South,top,refined
61391.0,East/West,low,other
65105.0,East/West,middle,refined
67932.0,South,middle,refined
67181.0,South,middle,simple
73137.0,South,middle,simple
64574.0,South,high,simple
64040.0,East/West,high,refined
61590.0,East/West,first,simple
71444.0,East/West,first,simple
72042.0,South,high,simple
71947.0,South,middle,other
68835.0,South,low,refined
63623.0,South,first,simple
70403.0,South,low,refined
74643.0,South,low,other
72213.0,South,top,simple
61590.0,East/West,middle,refined
69323.0,South,top,simple
71187.0,South,high,simple
60090.0,South,middle,refined
70019.0,South,top,refined
64227.0,South,middle,simple
